Season (raw),Hero (raw),Role (raw),Assists (raw),Assists - Most in Game (raw),Critical Hit Damage (raw),Critical Hit Damage - Most in Game (raw),Critical Hit Kills (raw),Critical Hit Kills - Most in Game (raw),Critical Hits (raw),Critical Hits - Most in Game (raw),Critical Hits - Most in Life (raw),Damage Done (raw),Damage Done - Most in Game (raw),Damage Done - Most in Life (raw),Deaths (raw),Defensive Assists (raw),Defensive Assists - Most in Game (raw),Eliminations (raw),Eliminations - Most in Game (raw),Eliminations - Most in Life (raw),Final Blows (raw),Final Blows - Most in Game (raw),Games Played (raw),Games Tied (raw),Games Won (raw),Healing Accuracy - Best in Game (raw),Healing Done (raw),Healing Done - Most in Game (raw),Hero Damage Done (raw),Hero Damage Done - Most in Game (raw),Hero Damage Done - Most in Life (raw),Hero Wins (raw),Kill Streak - Best (raw),Melee Kills (raw),Obj Contest Time (raw),Obj Contest Time - Most in Game (raw),Objective Kills (raw),Objective Kills - Most in Game (raw),Objective Time (raw),Objective Time - Most in Game (raw),Offensive Assists (raw),Offensive Assists - Most in Game (raw),Scoped Accuracy - Best in Game (raw),Scoped Critical Hit Kills (raw),Scoped Critical Hits (raw),Scoped Critical Hits - Most in Game (raw),Self Healing (raw),Self Healing - Most in Game (raw),Solo Kills (raw),Solo Kills - Most in Game (raw),Time Played (raw),Time Spent on Fire (raw),Time Spent on Fire - Most in Game (raw),Ultimate Damage (raw),Weapon Accuracy - Best in Game (raw)
Season 03,Sigma,Tank,2,1,0,0,0,0,0,0,0,"6,199","6,199","3,863",4,0,0,4,4,3,2,2,0,0,0,0,0,0,"4,534","4,534","3,198",0,3,0,13,13,2,2,17,17,1,0,0,0,0,0,0,0,0,0,230,0,0,0,1
Season 03,Sojourn,Damage,85,4,0,0,0,0,0,0,0,"104,994","14,242","6,850",54,0,0,166,28,16,81,12,8,0,5,0,0,0,"86,805","13,759","6,740",5,16,0,466,174,77,16,655,174,0,0,0,0,0,0,0,0,7,3,"5,332",0,0,0,0
Season 03,Soldier: 76,Damage,204,7,0,0,14,3,689,57,35,"216,224","15,486","9,301",109,78,8,407,35,18,203,19,16,1,10,0,"30,303","2,559","180,970","13,394","8,398",10,18,0,653,92,174,16,"1,405",201,0,0,0,0,0,0,"13,510","1,084",32,5,"11,226",0,0,0,1
Season 03,Sombra,Damage,0,0,0,0,0,0,4,4,4,259,259,259,0,0,0,1,1,1,1,1,0,0,0,0,0,0,244,244,244,0,1,0,6,6,1,1,6,6,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
Season 03,Symmetra,Damage,65,5,0,0,0,0,0,0,0,"50,577","12,568","3,944",34,0,0,129,34,12,64,20,6,0,4,0,0,0,"40,619","9,837","3,307",4,12,0,213,74,61,19,258,82,0,0,0,0,0,0,0,0,9,3,"2,990",0,0,0,1
Season 03,Torbjörn,Damage,12,0,0,0,0,0,22,13,6,"17,007","7,960","3,329",9,0,0,25,14,7,13,9,1,0,0,0,0,0,"14,667","7,403","3,092",0,7,0,62,44,11,6,66,49,0,0,0,0,0,0,0,0,2,2,871,0,0,0,0
Season 03,Tracer,Damage,10,0,0,0,1,1,75,57,24,"6,270","4,703","1,596",7,0,0,17,10,6,7,4,1,0,0,0,0,0,"5,174","3,607","1,149",0,6,0,60,56,9,7,62,58,0,0,0,0,0,0,314,282,1,1,436,0,0,0,0
Season 03,Widowmaker,Damage,5,1,0,0,7,4,12,5,5,"4,319","1,404","1,313",7,0,0,12,5,5,7,4,1,0,0,0,0,0,"3,547","1,256",877,0,5,0,2,2,1,1,6,3,0,0,1,6,6,4,0,0,2,2,495,0,0,0,1
Season 03,Winston,Tank,3,1,0,0,0,0,0,0,0,"2,226","2,226","1,821",2,0,0,4,4,2,1,1,0,0,0,0,0,0,"1,901","1,901","1,554",0,2,1,49,49,3,3,49,49,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0
Season 03,Zarya,Tank,0,0,0,0,0,0,0,0,0,794,794,527,2,0,0,0,0,0,0,0,0,0,0,0,0,0,794,794,527,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0
